energies,initx,inity,initz,tot_dist,dEdx,beta_gamma
1998.81,849.098,-685.741,299.644,968.596,0.000192165,19.8925
1999.85,-303.401,134.303,-718.417,4.35546,0.000192177,19.9024
1999.85,-310.57,136.757,-734.813,14.7647,0.000192177,19.9024
1999.81,-430.993,173.443,-1007.28,313.359,0.000192177,19.902
1999.91,224.161,-32.0861,-374.958,2.88733,0.000192178,19.903
1999.62,626.297,-36.9335,-1041.47,774.706,0.000192175,19.9003
1999.81,272.868,-197.475,-734.756,4.47122,0.000192177,19.9021
1999.81,279.325,-201.332,-751.146,14.9035,0.000192177,19.902
1999.78,381.335,-257.94,-1005.4,293.113,0.000192177,19.9017
1999.32,-654.392,-873.478,549.725,1045.83,0.000192171,19.8974
1999.45,-733.355,-808.396,-471.194,1017.4,0.000192173,19.8986
1999.52,-878.923,647.192,262.503,960.663,0.000192174,19.8993
1999.32,1067.85,-225.708,-539.934,1042.1,0.000192171,19.8974
1998.74,-883.968,640.249,501.187,1027.91,0.000192165,19.8919
1999.39,-1091.43,1.61683,43.3463,934.763,0.000192172,19.8981
1999.39,1051.43,-292.72,-678.614,1099.93,0.000192172,19.898
1999.96,78.7187,159.677,-211.464,4.73766,0.000192179,19.9034
1999.8,302.932,875.473,-1104.46,1169.19,0.000192177,19.902
1999.17,-514.725,962.507,394.531,993.202,0.00019217,19.8959
1999.88,-180.42,178.273,-456.737,7.57612,0.000192178,19.9027
1999.8,-432.6,371.444,-1028.83,659.327,0.000192177,19.9019
0.149195,877.748,634.388,453.879,2665.42,0.0177013,inf
1999.43,-824.254,-715.44,481.334,1020.84,0.000192173,19.8985
1999.47,687.66,-847.613,214.377,951.848,0.000192173,19.8988
1999.22,-996.321,445.568,-425.533,1002.52,0.00019217,19.8964
1999.37,-438.328,999.531,-630.104,1078.48,0.000192172,19.8979
1999.43,1074.61,-190.95,415.828,999.565,0.000192173,19.8984
1999.41,-217.57,-1069.55,158.372,943.776,0.000192172,19.8983
1999.3,-928.7,573.476,-394.832,993.281,0.000192171,19.8972
1998.88,671.242,860.68,210.874,951.262,0.000192166,19.8932
1999.43,784.276,-759.013,459.015,1013.29,0.000192173,19.8984
1999.18,973.218,494.106,-616.076,1072.64,0.00019217,19.8961
1999.44,940.551,-553.832,-111.131,938.816,0.000192173,19.8985
1999.93,-238.308,-11.4486,407.686,7.16352,0.000192178,19.9031
1999.84,-600.231,-75.9423,1036.07,732.582,0.000192177,19.9023
1999.48,-515.639,-961.98,690.404,1105.29,0.000192173,19.8989
1999.36,-859.342,-672.919,980.497,1256.33,0.000192172,19.8978
1999.49,293.788,-1051.15,-339.188,978.057,0.000192173,19.899
1998.34,-902.54,613.715,-625.182,1076.48,0.00019216,19.8881
1999.44,1057.64,269.657,662.63,1092.79,0.000192173,19.8985
1999.96,150.551,-62.4082,-162.424,4.21012,0.000192179,19.9035
1999.77,1056.91,-272.403,-1093.38,1319.76,0.000192177,19.9017
1999.96,-118.306,121.148,178.741,6.36039,0.000192179,19.9034
1999.72,-848.191,653.621,1135.06,1323.08,0.000192176,19.9012
1997.52,166.657,1078.68,-500.705,1027.71,0.000192151,19.8803
0.0343332,-213.33,1061.78,-70.5778,1978.68,0.0406523,inf
1999.31,-460.602,989.489,-24.9745,934.22,0.000192171,19.8973
1999.32,1014.42,402.659,338.346,977.882,0.000192171,19.8974
1999.36,99.4236,-1086.87,-91.9829,937.299,0.000192172,19.8978
1997.98,-742.358,-800.061,-490.027,1023.89,0.000192156,19.8847
1999.43,459.638,-989.965,-589.447,1061.58,0.000192173,19.8984
1999.36,1088.26,-82.9739,491.649,1024.47,0.000192172,19.8978
1999.38,303.86,-1048.28,-952.723,1240.02,0.000192172,19.8979
1999.48,-1089.9,57.3859,278.219,963.863,0.000192173,19.8989
1999.46,-1014.1,-403.492,247.573,957.779,0.000192173,19.8987
1999.38,996.081,446.187,375.41,987.707,0.000192172,19.898
1999.38,-536.56,950.446,-18.0433,934.126,0.000192172,19.8979
1999.24,966.132,-507.816,781.169,1148.75,0.00019217,19.8967
1999.49,258.692,1060.4,428.486,1003.42,0.000192173,19.899
1998.82,943.857,548.003,-461.477,1014.14,0.000192166,19.8927
1999.54,942.838,549.934,-108.37,938.592,0.000192174,19.8994
1999.49,369.951,1026.85,-557.173,1048.74,0.000192173,19.899
1999.51,-901.79,-614.768,196.599,949.021,0.000192174,19.8992
1999.13,-143.427,-1081.97,176.903,946.166,0.000192169,19.8956
1999.39,1088.87,75.7092,-201.442,949.744,0.000192172,19.898
1999.41,-640.006,884.132,758.253,1137.42,0.000192172,19.8982
1999.97,-31.1923,164.32,-178.774,3.31554,0.000192179,19.9035
1999.78,-338.268,997.943,-1131.46,1303.93,0.000192177,19.9017
1999.48,791.733,-751.243,-421.638,1001.38,0.000192173,19.8989
1999.5,-1036.8,340.989,454.758,1011.92,0.000192173,19.8991
1999.52,-1034.76,-347.195,371.764,986.758,0.000192174,19.8992
1999.79,113.35,944.085,-1109.82,1195.73,0.000192177,19.9019
1999.41,643.966,881.174,-105.089,938.327,0.000192172,19.8982
1999.31,-474.632,-982.898,-814.404,1165.59,0.000192171,19.8973
1992.86,-968.705,-502.867,-693.709,1106.81,0.000192097,19.8362
1999.51,-712.62,-826.652,-191.511,948.248,0.000192174,19.8992
1999.31,785.062,-758.297,-399.037,994.532,0.000192171,19.8973
1999.29,-213.192,1070.43,692.079,1106.03,0.000192171,19.8971
1984.86,858.171,-674.474,551.372,1046.48,0.000192004,19.7603
1999.35,-541.266,-947.769,-765.618,1141.01,0.000192172,19.8977
1999.31,-494.781,-972.832,-832.511,1175.21,0.000192171,19.8973
1998.9,750.647,-792.314,-380.427,989.126,0.000192167,19.8934
