initx_p,inity_p,initz_p,actx_ent,acty_ent,actz_ent,actx_exit,acty_exit,actz_exit,predx_ent,predy_ent,predz_ent,predx_exit,predy_exit,predz_exit
0.218624,-0.361305,0.906456,197.093,-270.886,719.635,288.288,-369.14,1007.27,82.8132,-136.901,343.435,1247,-2070.36,5187.81
0.0694832,0.871617,-0.485239,9.5802,159.713,-88.7932,-60.1914,1089.83,-607.396,12.7249,159.493,-88.7921,194.435,2409.07,-1341.26
-0.663623,0.680628,-0.310403,-113.741,112.529,-52.2463,-851.878,682.394,-356.614,-111.69,114.566,-52.2451,-1685.68,1732.02,-789.196
-0.785618,0.486936,-0.381704,-137.534,81.7575,-66.095,-992.951,453.082,-451.596,-135.991,84.3003,-66.0755,-2053.11,1275.2,-998.112
-0.793121,-0.550616,0.260349,-129.818,-93.5265,43.1541,-815.915,-724.923,294.752,-131.437,-91.2374,43.1436,-1986.59,-1376.54,651.712
0.877016,-0.421234,0.231094,145.416,-66.7386,38.0062,1033.36,-351.171,259.671,144.223,-69.2811,38.0038,2177.7,-1048.34,574.072
0.0523145,-0.606703,0.793205,21.8926,-183.7,241.016,22.2604,-186.107,244.19,13.7305,-159.41,208.411,204.224,-2408.26,3148.18
0.0523145,-0.606703,0.793205,22.6504,-188.645,247.536,190.437,-805.796,1082.8,13.7305,-159.41,208.411,204.224,-2408.26,3148.18
0.734775,-0.257909,-0.627366,152.098,-49.6614,-128.904,1072.52,-202.507,-880.94,150.966,-53.0022,-128.901,2279.61,-802.988,-1947.14
-0.999901,-0.0137974,0.0028778,-159.924,-4.93977,0.461689,-1082.24,-141.427,2.85967,-159.985,-2.19847,0.46045,-2416.7,-31.2641,6.95539
-0.107813,-0.507668,0.854781,-36.5301,-222.015,370.646,-36.836,-224.644,375.005,-33.255,-156.506,263.522,-506.004,-2363.34,3980.66
-0.107813,-0.507668,0.854781,-37.1061,-226.987,378.889,-49.7575,-628.621,1041.47,-33.255,-156.506,263.522,-506.004,-2363.34,3980.66
-0.98901,-0.0033938,0.14781,-159.966,-3.31606,23.9133,-1083.37,-132.579,163.02,-159.999,-0.539807,23.9123,-2416.89,-6.18721,361.21
-0.456026,-0.836461,0.30393,-74.0508,-141.833,51.0523,-401.168,-1015.01,348.773,-76.5956,-140.475,51.0434,-1158.82,-2120.98,771.042
-0.861572,-0.146343,-0.486083,-157.185,-29.8805,-89.0152,-1042.07,-324.716,-609.163,-157.742,-26.7829,-88.9943,-2383.17,-402.378,-1344.32
0.292945,0.940203,0.173785,44.9285,153.562,28.2388,198.988,1073.12,192.146,47.6042,152.754,28.2353,720.978,2306.86,426.512
0.67411,-0.717785,0.174242,111.542,-114.71,28.3061,836.453,-701.086,193.364,109.526,-116.636,28.3118,1653.02,-1763.21,427.667
0.485902,-0.701874,0.520838,93.6771,-129.71,97.6207,738.018,-804.12,668.079,91.0634,-131.558,97.6203,1373.69,-1988.56,1474.62
-0.232591,-0.965467,-0.117369,-34.7798,-156.174,-18.8669,-128.863,-1083.85,-128.562,-37.4826,-155.548,-18.9097,-568.102,-2349.18,-285.643
-0.322922,0.866025,0.381736,-58.6605,148.859,66.0987,-507.723,966.215,451.14,-55.8916,149.92,66.082,-842.305,2265.38,998.21
-0.322409,0.925889,0.19693,-55.2479,150.159,32.1426,-479.718,980.333,218.765,-52.607,151.104,32.1381,-792.787,2283.18,485.466
0.53771,-0.467913,0.701373,123.185,-102.105,157.449,929.531,-572.025,1078.95,120.691,-105.042,157.436,1821.32,-1588.78,2378.18
0.743784,0.652028,-0.147123,118.472,107.538,-23.7998,730.272,811.149,-161.839,120.321,105.465,-23.7986,1818.82,1591.64,-359.493
0.0361699,0.709467,-0.703809,4.29403,159.942,-158.548,4.30224,163.849,-162.419,8.15934,159.792,-158.518,125.987,2413.61,-2394.52
0.0361699,0.709467,-0.703809,4.30371,164.944,-163.505,-124.161,1084.39,-1087.07,8.15934,159.792,-158.518,125.987,2413.61,-2394.52
-0.0817628,-0.679138,-0.729442,-15.494,-164.271,-175.983,-15.6705,-166.864,-178.754,-19.1379,-158.851,-170.619,-291.913,-2399.21,-2577.31
-0.0817628,-0.679138,-0.729442,-15.8317,-169.261,-181.316,48.3209,-1055.11,-1131.42,-19.1379,-158.851,-170.619,-291.913,-2399.21,-2577.31
-0.330848,0.315485,-0.889387,-210.807,176.594,-535.416,-212.098,177.54,-538.529,-115.78,110.431,-311.276,-1745.99,1671.21,-4702.03
-0.330848,0.315485,-0.889387,-214.851,179.553,-545.162,-418.911,311.425,-1017.96,-115.78,110.431,-311.276,-1745.99,1671.21,-4702.03
-0.792246,0.462163,0.398437,-139.683,78.0306,69.5154,-1005.63,424.261,475.667,-138.198,80.6305,69.5052,-2086.5,1219.81,1049.92
-0.99516,0.095362,0.0237163,-159.509,12.529,3.79207,-1091.18,-23.7879,25.72,-159.27,15.2713,3.79567,-2405.68,232.62,57.336
0.77139,0.536477,0.342272,129.666,93.7381,58.2881,811.65,729.77,398.211,131.362,91.346,58.2838,1985.48,1378.14,880.413
0.424505,-0.10532,0.899279,295.702,-50.5986,617.497,297.051,-50.7276,620.285,155.287,-38.5483,328.974,2344.63,-586.613,4969.36
0.424505,-0.10532,0.899279,300.694,-51.0713,627.809,304.961,-51.4655,636.623,155.287,-38.5483,328.974,2344.63,-586.613,4969.36
0.424505,-0.10532,0.899279,305.687,-51.5317,638.123,487.498,-59.9326,1012.64,155.287,-38.5483,328.974,2344.63,-586.613,4969.36
-0.193045,0.961709,-0.19455,-34.2202,156.298,-31.7364,-342.851,1036.22,-218.491,-31.4797,156.873,-31.7343,-473.576,2370.05,-479.367
-0.398296,0.122346,0.909061,-327.518,70.4038,731.716,-328.924,70.5812,734.807,-152.941,47.0021,349.082,-2308.89,714.457,5273.11
-0.398296,0.122346,0.909061,-332.498,71.0273,742.663,-336.345,71.5002,751.117,-152.941,47.0021,349.082,-2308.89,714.457,5273.11
-0.398296,0.122346,0.909061,-337.48,71.6382,753.61,-452.438,82.1467,1005.44,-152.941,47.0021,349.082,-2308.89,714.457,5273.11
-0.863828,-0.0306466,0.502854,-159.756,-8.83731,93.0871,-1075.47,-186.267,636.619,-159.9,-5.66231,93.0811,-2415.46,-83.2835,1406.05
0.604793,-0.00540885,-0.796364,184.948,4.38418,-243.641,185.371,4.40805,-244.199,159.993,-1.44597,-210.672,2416.77,-25.0585,-3182.34
0.604793,-0.00540885,-0.796364,189.943,4.67031,-250.228,810.728,111.089,-1081.08,159.993,-1.44597,-210.672,2416.77,-25.0585,-3182.34
-0.212927,-0.919272,-0.331061,-33.2728,-156.502,-56.1438,-113.278,-1085.53,-383.614,-36.1137,-155.871,-56.1352,-547.527,-2354.06,-847.958
-0.630281,-0.775891,0.0271873,-98.7427,-125.896,4.35255,-584.64,-921.648,29.7702,-100.889,-124.183,4.35157,-1525.51,-1874.63,65.7332
-0.936903,-0.25947,0.234281,-153.42,-45.4116,38.5595,-1009.27,-415.606,263.768,-154.198,-42.6946,38.5581,-2329.8,-643,582.444
-0.090662,-0.987275,-0.13065,-11.8801,-159.558,-21.0857,28.3034,-1091.1,-144.028,-14.6405,-159.329,-21.0846,-223.108,-2406.58,-318.497
