initx_p,inity_p,initz_p,actx_ent,acty_ent,actz_ent,actx_exit,acty_exit,actz_exit,predx_ent,predy_ent,predz_ent,predx_exit,predy_exit,predz_exit
0.30842,-0.744751,-0.591796,64.338,-146.494,-117.465,543.007,-917.189,-785.159,64.3416,-146.493,-117.474,571.958,-952.929,-818.929
0.45345,-0.886516,0.092043,75.2989,-141.174,14.7934,590.667,-887.282,98.8354,75.2977,-141.175,14.7904,620.573,-922.008,102.978
0.093899,0.648362,-0.75552,19.6668,168.607,-195.788,-7.77226,930.338,-1076.97,18.7902,158.893,-184.54,-42.8488,1110.57,-1288.85
-0.0620964,-0.940507,-0.334052,-7.64367,-159.817,-56.715,58.4715,-1064.26,-379.391,-7.64167,-159.817,-56.709,67.1718,-1109.37,-394.944
0.142077,0.758105,-0.636467,25.9976,157.874,-132.085,41.0853,1065.15,-881.704,25.9775,157.877,-132.04,33.989,1110.88,-920.777
0.100487,-0.524717,0.845325,47.7935,-203.205,330.474,48.9771,-207.422,337.406,35.1106,-156.1,253.205,446.588,-1017.73,1773.35
0.100487,-0.524717,0.845325,50.441,-212.598,345.922,199.926,-607.978,1014.77,35.1106,-156.1,253.205,446.588,-1017.73,1773.35
-0.0316229,-0.998647,-0.0412781,-2.3279,-159.983,-6.60804,87.609,-1062.26,-43.8447,-2.32523,-159.983,-6.61045,97.1838,-1107.14,-46.0245
0.769602,0.594292,0.233515,124.897,100.004,38.4268,760.812,746.481,256.788,124.898,100.003,38.4268,790.052,781.682,267.577
-0.685993,0.658518,-0.309464,-117.397,108.71,-52.0658,-850.938,641.972,-348.078,-117.4,108.708,-52.0732,-891.663,663.436,-362.642
-0.157607,-0.796964,-0.583103,-27.7296,-157.579,-114.86,-57.8095,-1064.37,-768.335,-27.7284,-157.579,-114.849,-53.8236,-1110.1,-800.585
0.26361,-0.528358,0.807061,90.2222,-166.36,258.774,427.674,-624.519,1038.44,75.5487,-141.04,218.721,686.159,-874.298,1529.53
0.26361,-0.528358,0.807061,428.272,-625.175,1039.65,429.543,-626.572,1042.24,75.5487,-141.04,218.721,686.159,-874.298,1529.53
-0.117559,-0.563476,-0.817725,-32.1529,-186.499,-268.874,-32.6028,-189.808,-273.616,-28.0083,-157.529,-227.334,2.49893,-1111.4,-1590.32
-0.117559,-0.563476,-0.817725,-33.455,-196.168,-282.727,-51.4027,-724.331,-1034.47,-28.0083,-157.529,-227.334,2.49893,-1111.4,-1590.32
-0.968793,-0.171621,0.178845,-157.038,-30.6449,29.0855,-1020.98,-306.124,193.755,-157.038,-30.6444,29.0855,-1062.94,-324.616,202.519
-0.533442,-0.736961,0.415124,-91.3626,-131.35,73.0117,-512.6,-934.523,487.334,-91.3627,-131.35,73.012,-528.5,-977.7,508.583
-0.140169,-0.398065,0.906585,-78.9965,-296.404,659.498,-79.96,-301.677,671.011,-46.9808,-152.947,343.804,-59.0378,-1109.83,2420.22
-0.140169,-0.398065,0.906585,-81.4471,-309.978,689.127,-100.29,-442.299,976.256,-46.9808,-152.947,343.804,-59.0378,-1109.83,2420.22
-0.664839,0.727893,-0.16781,-109.931,116.255,-27.2429,-804.805,698.91,-182.363,-109.938,116.248,-27.2372,-842.98,724.29,-189.648
0.31355,-0.685593,-0.656999,69.8336,-143.956,-139.437,584.405,-891.407,-931.76,69.83,-143.958,-139.448,615.769,-925.223,-972.616
0.704921,-0.179687,0.686148,155.929,-35.864,150.927,1061.39,-97.8035,1010.13,155.929,-35.864,150.927,1107.34,-94.9196,1053
0.0704519,0.901837,0.426293,9.43427,159.722,75.3958,-51.5739,1064.7,502.979,9.44252,159.721,75.4059,-59.7406,1109.79,525.275
-0.597485,0.585641,0.547756,-116.532,109.637,104.773,-855.633,635.661,699.055,-116.53,109.639,104.761,-896.154,657.357,730.114
-0.286431,-0.869439,-0.402534,-47.2146,-152.875,-70.3582,-204.734,-1046.09,-471.427,-47.2156,-152.875,-70.3614,-207.793,-1091.8,-490.102
-0.0579,-0.981922,0.180211,-6.65869,-159.861,29.3268,59.9939,-1064.19,195.596,-6.639,-159.862,29.3152,69.0866,-1109.25,204.119
-0.0860054,-0.996266,-0.00758355,-11.0335,-159.619,-1.20946,30.1037,-1065.46,-8.93603,-11.0323,-159.619,-1.21346,36.6658,-1110.8,-8.44856
0.553779,0.702675,-0.446741,96.6213,127.532,-79.8948,545.684,915.648,-534.603,96.6159,127.536,-79.8991,565.904,956.537,-556.61
-0.301176,0.706791,-0.640109,-65.9969,145.755,-133.316,-558.59,907.783,-889.609,-65.9836,145.761,-133.318,-588.574,942.757,-929.713
0.5627,0.825515,-0.0435119,87.8402,133.731,-6.96888,495.379,943.755,-46.3774,87.8404,133.731,-6.96884,512.307,986.282,-48.5198
-0.231011,0.948013,-0.218873,-40.5982,154.764,-35.8982,-371.814,998.983,-239.026,-40.5996,154.763,-35.8917,-392.664,1039.72,-249.92
-0.714924,-0.00263133,-0.699197,-159.939,-4.41635,-156.51,-1051.6,-174.016,-1047.46,-159.939,-4.4171,-156.494,-1095.25,-188.755,-1092.01
-0.650343,0.608439,-0.454814,-118.914,107.049,-81.7083,-865.087,622.752,-546.588,-118.917,107.046,-81.7156,-905.643,644.221,-569.28
-0.66041,0.356902,0.660666,-142.456,72.8434,140.821,-1003.91,358.185,940.973,-142.457,72.8428,140.827,-1049.07,366.971,982.264
0.260683,-0.679468,0.685833,60.8066,-147.995,150.802,532.432,-923.406,1008.06,60.8075,-147.995,150.796,562.186,-958.727,1052.08
-0.66984,-0.715732,0.197592,-107.278,-118.708,32.2501,-632.591,-857.909,215.079,-107.275,-118.71,32.2522,-655.47,-897.535,224.573
0.446572,0.768427,0.458359,77.7164,139.858,82.5233,413.351,982.483,551.448,77.7165,139.858,82.521,424.951,1026.95,574.898
-0.196539,-0.940744,0.276358,-29.9282,-157.176,46.0108,-92.444,-1061.93,306.847,-29.9276,-157.176,46.0116,-91.0301,-1107.67,320.411
0.802521,-0.559637,0.206801,132.821,-89.2106,33.8194,939.411,-503.605,224.83,132.82,-89.2116,33.821,982.089,-520.298,235.499
0.817777,-0.491918,0.29876,138.562,-80.0027,50.0921,972.802,-435.68,334.573,138.562,-80.0028,50.092,1016.29,-449.842,348.838
0.600012,-0.300181,0.741537,144.876,-67.904,176.856,145.736,-68.2806,177.894,144.87,-67.9159,176.862,1066.31,-313.364,1234.91
0.600012,-0.300181,0.741537,153.817,-71.8018,187.637,935.92,-294.698,1088.68,144.87,-67.9159,176.862,1066.31,-313.364,1234.91
0.741764,0.401083,0.537511,139.175,78.9331,101.999,858.572,631.692,684.101,139.17,78.9413,101.995,893.389,661.109,710.798
0.205871,0.779544,-0.591548,37.5674,155.527,-117.389,123.33,1058.72,-785.056,37.5625,155.528,-117.398,122.317,1104.65,-818.398
0.724619,0.607098,-0.326127,120.765,104.957,-55.1881,724.778,781.591,-369.089,120.765,104.956,-55.2013,755.445,815.177,-384.438
0.304534,0.201007,0.93105,342.709,266.728,972.363,803.579,112.386,-991.109,129.256,94.3024,408.404,677.63,880.924,2888.51
-0.706536,-0.212624,0.67498,-152.103,-49.6463,146.374,-962.022,-459.068,978.254,-152.102,-49.6475,146.383,-998.781,-487.489,1021.17
0.796108,-0.160153,0.583578,157.487,-28.2454,114.998,1064.2,-61.0602,766.742,157.487,-28.2437,114.991,1109.92,-57.3953,801.576
0.714908,-0.696165,-0.0652691,116.529,-109.641,-10.4709,843.627,-651.561,-69.9151,116.526,-109.643,-10.4659,882.913,-675.037,-72.868
-0.417061,-0.905567,-0.0775094,-64.428,-146.455,-12.4459,-332.11,-1012.88,-82.828,-64.4277,-146.455,-12.4395,-341.291,-1057.7,-86.6098
-0.0116547,0.99869,-0.0498315,-4.6147,159.933,-7.97866,-134.458,1057.35,-52.8018,-4.60706,159.934,-7.98334,-145.096,1101.89,-55.5832
-0.00413935,0.565522,0.824723,-8.92963,198.8,290.217,-98.8241,698.1,1030.57,-6.01015,159.887,233.364,-241.465,1084.85,1632.92
-0.350397,-0.935847,-0.0375793,-53.5317,-150.779,-6.01027,-256.985,-1034.43,-40.4823,-53.5299,-150.78,-6.01723,-263.176,-1079.79,-41.8942
-0.596465,0.313517,-0.738875,-143.481,70.8032,-175.455,-145.561,71.7635,-177.967,-143.471,70.8234,-175.461,-1059.55,335.514,-1225.07
-0.596465,0.313517,-0.738875,-152.341,74.8811,-186.151,-937.397,317.339,-1088.7,-143.471,70.8234,-175.461,-1059.55,335.514,-1225.07
0.994285,-0.039017,-0.0993752,159.961,-3.52435,-15.9799,1062.86,80.3065,-106.329,159.961,-3.52431,-15.9799,1107.8,89.3508,-111.26
0.354329,-0.224351,-0.907809,271.189,-143.361,-664.664,273.884,-144.523,-671.019,138.56,-80.0074,-346.437,1068.98,-304.131,-2439.18
0.354329,-0.224351,-0.907809,283.87,-148.788,-694.533,298.874,-155.075,-729.758,138.56,-80.0074,-346.437,1068.98,-304.131,-2439.18
0.354329,-0.224351,-0.907809,300.488,-155.742,-733.538,405.26,-195.573,-976.246,138.56,-80.0074,-346.437,1068.98,-304.131,-2439.18
0.762995,0.646397,0.00321284,120.294,105.495,0.515595,729.234,777.385,3.28994,120.293,105.497,0.514082,756.623,814.084,3.57922
-0.990602,0.127388,-0.0497928,-159.02,17.6833,-7.99062,-1065.77,14.1618,-53.1251,-159.019,17.6863,-7.97713,-1111.36,9.60064,-55.54
0.761719,-0.647861,0.00774771,123.634,-101.561,1.23862,885.255,-593.661,8.00051,123.634,-101.561,1.23973,926.166,-614.351,8.63146
0.546429,0.494536,0.675906,116.111,110.083,146.757,670.371,828.726,981.839,116.106,110.088,146.752,693.008,868.879,1023.76
-0.487995,0.591064,-0.642265,-104.595,121.078,-134.035,-793.77,711.413,-893.791,-104.595,121.078,-134.081,-831.903,736.985,-935.055
