energies,initx,inity,initz,tot_dist,dEdx,beta_gamma
1999.12,323.912,568.957,19.3498,486.668,0.000302723,19.8955
1999.08,414.046,768.595,25.7987,705.231,0.000288725,19.8951
1999.04,488.817,956.397,31.7438,906.787,0.000273938,19.8947
1999.36,-237.623,12.0565,165.865,95.0934,0.000980722,19.8978
1999.32,-324.201,12.7576,226.165,195.7,0.000486635,19.8974
1999.29,-436.262,10.7683,304.201,327.097,0.000327681,19.8971
1999.24,-654.674,-2.53503,456.528,593.066,0.000302725,19.8966
1999.19,-872.648,-28.3566,609.35,859.697,0.000288726,19.8961
1999.13,-1072.22,-63.2427,750.393,1105.83,0.00027394,19.8956
1999.48,49.3591,232.76,36.1907,78.9131,0.000980729,19.8989
1999.44,64.4357,318.027,49.3553,162.398,0.000486639,19.8985
1999.42,81.5613,428.635,66.3752,271.427,0.000327684,19.8983
1999.38,107.289,645.851,99.6363,492.045,0.000302727,19.8979
1999.33,122.724,864.398,132.934,713.032,0.000288729,19.8975
1999.29,127.742,1066.45,163.667,916.836,0.000273942,19.8971
1999.43,-186.03,-148.398,-90.2837,83.4443,0.000980726,19.8984
1999.4,-251.655,-204.839,-123.155,171.739,0.000486638,19.8981
1999.37,-334.892,-279.773,-165.688,287.054,0.000327683,19.8979
1999.31,-491.782,-432.118,-248.758,520.423,0.000302726,19.8973
1999.24,-641.252,-592.558,-332.061,754.234,0.000288727,19.8966
1999.2,-771.808,-747.008,-408.87,969.909,0.000273941,19.8963
1999.53,-231.011,57.2309,-86.2373,82.9971,0.000980732,19.8994
1999.5,-315.703,74.8978,-117.627,170.806,0.000486641,19.8991
1999.47,-425.85,95.303,-158.271,285.485,0.000327685,19.8988
1999.42,-642.219,127.033,-237.627,517.562,0.000302728,19.8983
1999.37,-860.383,148.027,-317.165,750.071,0.00028873,19.8979
1999.34,-1062.47,157.745,-390.585,964.542,0.000273943,19.8975
1999.4,234.223,41.9233,104.817,85.2683,0.000980725,19.8982
1999.37,318.802,60.358,142.99,175.482,0.000486637,19.8978
1999.33,427.651,86.7521,192.379,293.305,0.000327682,19.8975
1999.27,638.046,146.474,288.816,531.752,0.000302725,19.897
1999.23,845.698,217.039,385.51,770.66,0.000288727,19.8965
1999.18,1033.79,291.439,474.707,991.069,0.000273941,19.8961
1999.53,139.672,-192.641,0.63733,78.0174,0.000980733,19.8994
1999.51,192.834,-260.917,0.843459,160.555,0.000486641,19.8992
1999.47,263.465,-347.81,1.09325,268.343,0.000327685,19.8988
1999.43,407.336,-512.561,1.56659,486.449,0.000302728,19.8985
1999.4,558.989,-670.663,2.04793,704.912,0.00028873,19.8981
1999.36,705.293,-810.073,2.48627,906.371,0.000273944,19.8978
1999.53,237.04,20.9577,125.984,88.3151,0.000980732,19.8994
1999.51,322.854,31.9811,171.851,181.747,0.000486641,19.8991
1999.47,433.61,48.9061,231.268,303.786,0.000327685,19.8988
1999.42,648.345,90.5709,347.324,550.808,0.000302728,19.8983
1999.37,861.174,143.724,463.7,798.348,0.00028873,19.8979
1999.33,1054.76,202.733,571.059,1026.76,0.000273943,19.8975
1999.57,90.625,219.992,16.1598,78.1744,0.000980735,19.8998
1999.55,120.605,301.163,21.5545,160.878,0.000486642,19.8995
1999.52,157.19,407.102,28.5426,268.884,0.000327686,19.8992
1999.47,221.17,616.198,42.1804,487.434,0.000302729,19.8988
