energies,initx,inity,initz,tot_dist,dEdx,beta_gamma
1999.35,436.402,972.48,509.917,1006.86,0.000192172,19.8977
1999.74,264.67,297.855,964.569,16.2425,0.000192176,19.9013
0.0854736,250.729,279.129,905.896,16.2425,0.0254978,0.602091
1999.95,-175.93,-58.4998,241.693,9.77102,0.000192179,19.9034
1999.84,-729.531,-334.377,1049.82,1021.92,0.000192177,19.9023
1999.94,-80.2762,-140.188,-177.929,2.35309,0.000192178,19.9033
1999.79,-372.568,-910.776,-1088.7,1220.08,0.000192177,19.9018
1999.5,702.09,-802.009,100.827,912.317,0.000192173,19.8991
1999.8,613.619,717.991,1080.94,1180.46,0.000192177,19.9019
1999.96,-176.134,20.867,209.832,11.835,0.000192179,19.9034
1999.75,-900.644,-2.27322,1069.13,1133.89,0.000192176,19.9015
1998.88,-903.911,-2.77654,1073.05,1136.84,0.000192166,19.8932
1999.51,473.213,955.141,-134.622,915.515,0.000192174,19.8992
1999.4,1045.02,209.999,-523.567,1011.98,0.000192172,19.8982
1999.94,166.366,58.9678,-209.843,10.5205,0.000192179,19.9033
1999.77,802.631,398.413,-1069.12,1128.81,0.000192176,19.9016
1999.26,-575.388,-897.316,-628.345,1054.44,0.000192171,19.8968
1999.47,-993.732,-385.442,-429.745,979.396,0.000192173,19.8988
1999.4,-745.225,-762.134,-707.454,1090.39,0.000192172,19.8982
1999.43,-675.564,824.425,324.597,949.439,0.000192173,19.8984
1999.33,-989.346,-396.663,151.631,917.397,0.000192171,19.8975
1999.8,-214.761,929.729,-1080.95,1188.45,0.000192177,19.9019
0.867633,-216.154,932.954,-1084.84,1188.45,0.00461689,2.50574
1999.5,753.282,754.114,-409.37,972.976,0.000192173,19.8991
1999.52,397.828,-988.83,58.5724,909.63,0.000192174,19.8993
1999.32,-120.339,-1059.09,406.938,972.269,0.000192171,19.8974
1999.26,-1053.94,159.034,682.805,1078.81,0.000192171,19.8968
1999.53,-795.76,-709.132,20.0078,908.437,0.000192174,19.8993
1999.53,1063.27,-75.0296,508.292,1006.4,0.000192174,19.8994
1999.78,-751.49,65.9703,1038.46,963.526,0.000192177,19.9018
1999.34,-281.376,-1028.05,-398.386,969.686,0.000192172,19.8975
1999.37,-600.802,880.47,809.099,1140.48,0.000192172,19.8978
1999.37,655.013,840.917,842.097,1157.82,0.000192172,19.8978
1999.35,513.422,934.074,-898.024,1187.99,0.000192172,19.8977
1999.42,585.93,890.434,465.831,991.305,0.000192172,19.8983
1999.4,857.593,632.961,-12.8646,908.349,0.000192172,19.8982
1999.94,56.6867,195.552,-305.504,8.33291,0.000192178,19.9032
1999.8,128.379,667.76,-1022.69,861.138,0.000192177,19.9019
1999.92,-217.802,33.3693,-369.295,3.62121,0.000192178,19.9031
1998.43,-598.357,43.3174,-1007.2,731.301,0.000192161,19.889
1.3096,-291.793,41.4849,-626.023,731.301,0.00329889,3.41962
0.0276534,-219.813,32.6482,-369.242,731.301,0.0437387,0.333408
1999.16,-842.572,-652.842,802.879,1137.29,0.00019217,19.8959
1999.48,-882.518,-597.702,279.157,938.91,0.000192173,19.8989
1999.43,-648.025,-846.307,333.585,951.786,0.000192173,19.8984
1999.47,-608.88,874.907,-212.61,926.182,0.000192173,19.8988
1999.4,975.183,430.254,-23.954,908.491,0.000192172,19.8981
1999.28,-850.248,-642.789,775.069,1123.29,0.000192171,19.897
1999.38,1031.56,268.349,691.197,1082.76,0.000192172,19.898
1999.95,-69.3109,-158.151,209.792,4.68675,0.000192179,19.9034
1999.81,-253.314,-836.08,1065.17,1101.88,0.000192177,19.902
1999.45,657.207,-839.216,-488.836,999.334,0.000192173,19.8986
