chi2,ndf
108.003,103
110.037,105
106.013,101
110.033,105
156.004,151
110.06,105
78.0042,73
80.0605,75
108.006,103
110.034,105
14.0004,9
108.002,103
108.032,103
108.007,103
68.0074,63
108.042,103
86.0172,81
110.037,105
106.054,101
108.012,103
106.008,101
40.0009,35
110.012,105
216.118,211
110.003,105
110.002,105
86.0181,81
110.097,105
104.006,99
72.0622,67
110.127,105
110.175,105
110.175,105
30.0016,25
108.002,103
108.022,103
108.042,103
172.012,167
108.007,103
110.185,105
106.007,101
220.01,215
108.02,103
80.023,75
110.106,105
108.084,103
108.003,103
108.053,103
86.0153,81
110.019,105
108.002,103
110.017,105
220.014,215
108.093,103
104.014,99
106.021,101
110.001,105
102.007,97
14.0108,9
108.008,103
110.002,105
110.029,105
110.012,105
78.0098,73
106.047,101
110.004,105
104.084,99
104.003,99
20.0005,15
104.002,99
108.07,103
110.031,105
110.026,105
108.003,103
104.003,99
106.006,101
108.064,103
34.0112,29
110.003,105
108.097,103
110.007,105
108.007,103
70.086,65
106.017,101
14.0003,9
108.008,103
110.002,105
56.0039,51
104.012,99
108.129,103
66.0347,61
104.041,99
86.021,81
74.0757,69
108.001,103
110.044,105
104.007,99
106.002,101
108.002,103
110.002,105
106.003,101
106.003,101
110.255,105
36.0018,31
106.002,101
108.005,103
36.0051,31
110.005,105
108.006,103
216.277,211
110.104,105
108.002,103
110.001,105
106.007,101
108.158,103
110.094,105
108.021,103
92.0012,87
58.0015,53
106.053,101
110.248,105
110.016,105
110.003,105
106.19,101
106.211,101
98.0602,93
110.075,105
64.0012,59
108.005,103
110.366,105
108.024,103
110.1,105
96.0211,91
220.018,215
84.0293,79
102.029,97
108.03,103
318.007,313
188.276,183
108.043,103
110.023,105
94.0297,89
324.082,319
110.07,105
110.038,105
110.002,105
108.019,103
110.045,105
62.0102,57
106.013,101
108.09,103
212.02,207
106.022,101
42.0152,37
110.008,105
108.033,103
110.007,105
216.047,211
106.017,101
108.084,103
216.126,211
110.078,105
110.076,105
110.019,105
78.0099,73
80.0061,75
90.0187,85
110.408,105
22.0037,17
110.002,105
110.01,105
34.0023,29
74.1029,69
110.008,105
108.024,103
108.015,103
110.107,105
108.056,103
108.003,103
20.0007,15
106.128,101
108.005,103
108.005,103
110.119,105
108.068,103
220.166,215
102.103,97
60.0041,55
108.133,103
110.007,105
110.171,105
110.004,105
110.006,105
110.044,105
110.002,105
110.013,105
110.006,105
106.003,101
110.005,105
104.002,99
110.081,105
104.008,99
108.003,103
108.048,103
56.0278,51
106.29,101
60.062,55
216.008,211
24.0006,19
216.116,211
90.0276,85
36.016,31
106.009,101
108.004,103
108.002,103
208.017,203
110.08,105
108.003,103
110.003,105
110.13,105
108.005,103
110.004,105
106.022,101
108.067,103
92.0267,87
106.026,101
110.114,105
108.1,103
104.147,99
102.015,97
106.042,101
108.044,103
106.041,101
110.067,105
104.016,99
108.003,103
110.006,105
52.0177,47
108.01,103
110.005,105
220.01,215
96.0183,91
220.124,215
108.005,103
88.2249,83
108.008,103
40.0125,35
110.098,105
110.011,105
64.0105,59
110.001,105
30.0007,25
92.0095,87
108.009,103
92.0512,87
216.007,211
108.024,103
90.0031,85
108.015,103
104.015,99
108.016,103
110.022,105
106.008,101
108.033,103
52.0482,47
108.002,103
106.049,101
110.038,105
160.125,155
106.006,101
108.009,103
108.002,103
108.018,103
108.026,103
108.3,103
110.075,105
110.033,105
108.24,103
110.003,105
110.005,105
108.066,103
110.003,105
108.055,103
106.002,101
110.008,105
110.116,105
106.023,101
108.002,103
104.032,99
108.002,103
108.014,103
106.032,101
106.004,101
110.001,105
108.046,103
110.202,105
68.0022,63
110.04,105
110.019,105
108.002,103
108.362,103
110.013,105
104.092,99
104.003,99
110.01,105
110.017,105
94.0217,89
110.002,105
102.07,97
106.046,101
76.0094,71
108.007,103
220.437,215
110.002,105
108.081,103
110.003,105
108.076,103
108.005,103
52.0136,47
110.074,105
60.0062,55
108.004,103
108.039,103
110.052,105
108.042,103
110.009,105
32.0012,27
110.021,105
110.004,105
108.069,103
110.041,105
106.013,101
60.0279,55
110.059,105
110.039,105
110.072,105
188.022,183
108.003,103
110.009,105
108.239,103
110.004,105
108.003,103
106.002,101
110.018,105
110.011,105
110.01,105
46.0015,41
216.02,211
102.024,97
110.207,105
108.031,103
216.06,211
110.009,105
110.033,105
76.0165,71
