time_ns,signal
144.25,-0.000183286
144.75,-0.000183069
145.25,-0.000182853
145.75,-0.00018264
146.25,-0.000182429
146.75,-0.000182222
147.25,-0.000182019
147.75,-0.00018182
148.25,-0.000181626
148.75,-0.000181432
149.25,-0.000181241
149.75,-0.00018105
150.25,-0.000180856
150.75,-0.000180662
151.25,-0.000180467
151.75,-0.000180272
152.25,-0.000180078
152.75,-0.000179886
153.25,-0.000179697
153.75,-0.00017951
154.25,-0.000179325
154.75,-0.000179145
155.25,-0.000178967
155.75,-0.000178794
156.25,-0.000178623
156.75,-0.000178454
157.25,-0.000178285
157.75,-0.000178113
158.25,-0.00017794
158.75,-0.000177766
159.25,-0.000177593
159.75,-0.00017742
160.25,-0.000177248
160.75,-0.000177077
161.25,-0.000176909
161.75,-0.000176743
162.25,-0.00017658
162.75,-0.00017642
163.25,-0.000176264
163.75,-0.000176111
164.25,-0.00017596
164.75,-0.00017581
165.25,-0.000175659
165.75,-0.000175506
166.25,-0.000175351
166.75,-0.000175196
167.25,-0.00017504
167.75,-0.000174885
168.25,-0.000174731
168.75,-0.000174579
169.25,-0.000174428
169.75,-0.00017428
170.25,-0.000174134
170.75,-0.000173991
171.25,-0.000173851
171.75,-0.000173714
172.25,-0.00017358
172.75,-0.000173446
173.25,-0.000173312
173.75,-0.000173175
174.25,-0.000173037
174.75,-0.000172897
175.25,-0.000172758
175.75,-0.000172618
176.25,-0.000172479
176.75,-0.000172342
177.25,-0.000172206
177.75,-0.000172071
178.25,-0.000171939
178.75,-0.000171809
179.25,-0.000171682
179.75,-0.000171558
180.25,-0.000171436
180.75,-0.000171316
181.25,-0.000171198
181.75,-0.000171076
182.25,-0.000170953
182.75,-0.000170828
183.25,-0.000170702
183.75,-0.000170576
184.25,-0.00017045
184.75,-0.000170325
185.25,-0.0001702
185.75,-0.000170078
186.25,-0.000169956
186.75,-0.000169837
187.25,-0.00016972
187.75,-0.000169605
188.25,-0.000169493
188.75,-0.000169383
189.25,-0.000169276
189.75,-0.000169169
190.25,-0.000169061
190.75,-0.000168949
191.25,-0.000168837
191.75,-0.000168723
192.25,-0.000168609
192.75,-0.000168495
193.25,-0.000168381
193.75,-0.000168268
194.25,-0.000168156
194.75,-0.000168045
195.25,-0.000167936
195.75,-0.000167829
196.25,-0.000167724
196.75,-0.000167621
197.25,-0.000167521
197.75,-0.000167423
198.25,-0.000167326
198.75,-0.00016723
199.25,-0.000167131
199.75,-0.00016703
200.25,-0.000166927
200.75,-0.000166824
201.25,-0.00016672
201.75,-0.000166616
202.25,-0.000166512
202.75,-0.000166409
203.25,-0.000166308
203.75,-0.000166207
204.25,-0.000166108
204.75,-0.00016601
205.25,-0.000165915
205.75,-0.000165821
206.25,-0.000165729
206.75,-0.00016564
207.25,-0.000165552
207.75,-0.000165465
208.25,-0.000165376
208.75,-0.000165285
209.25,-0.000165192
209.75,-0.000165098
210.25,-0.000165003
210.75,-0.000164908
211.25,-0.000164813
211.75,-0.000164718
212.25,-0.000164625
212.75,-0.000164532
213.25,-0.00016444
