3421.444192,3340.435692,2807.348837,2981.757246,2753.635583,2611.025276,2456.788269,2267.185467,2149.975020,2044.549793,1961.631608,1860.372125,1695.424274,1647.010127,1596.317329,1517.906127,1436.917145,-1.000000,2047.673427,2018.804128,2017.531241,2017.345372,2082.207949,2157.109682,2201.379574,2298.989939,2370.862976,2444.195859,2531.525793,2665.067985,2779.262135,2892.360985,2929.598484,3075.184174,
3109.538905,3026.243093,2882.925978,2724.489027,2505.011854,2399.355310,2221.049087,2115.138168,1991.164219,1878.517705,1765.724193,1655.151933,1543.743521,1489.688020,1430.544718,1365.224854,1335.052323,-1.000000,1515.969928,1591.640614,1598.578255,1754.553822,1821.149829,1903.305681,1965.101927,2064.038551,2080.861683,2241.818565,2343.600119,2449.605425,2555.576783,2647.741347,2754.098694,2927.138586,
2933.501476,2791.327916,2652.037254,2510.573720,2339.166227,2170.061217,2053.061122,1926.724623,1802.784213,1685.247525,1553.816717,1511.490470,1427.888580,1346.533490,1303.813903,1254.833404,1234.933984,-1.000000,1342.992982,1373.387289,1477.410432,1526.845077,1610.602024,1675.202054,1728.810138,1811.784798,1901.985583,1955.538801,2125.475947,2211.924698,2357.557304,2505.207417,2629.070314,2783.525440,
2803.976784,2637.480207,2473.533207,2302.064134,2144.577168,1985.161307,1894.068987,1765.406738,1642.719563,1497.788062,1441.310534,1306.039902,1281.295984,1192.073519,1173.099620,1138.254514,1130.509103,-1.000000,1150.156809,1213.095366,1287.818351,1340.831672,1421.522920,1451.742903,1529.963418,1652.628402,1715.268341,1832.064114,1939.954929,2020.419572,2174.030746,2336.260241,2442.790539,2663.846839,
2676.726238,2496.123466,2316.365069,2127.243482,1962.343654,1870.029415,1735.101268,1601.954113,1477.424316,1379.158424,1287.705131,1204.982203,1143.112438,1070.882530,1055.648668,1033.081289,1028.334969,-1.000000,999.450888,1087.647725,1122.642036,1189.794522,1243.814941,1289.874827,1389.818938,1444.503612,1566.093101,1672.690993,1766.041744,-1.000000,2034.873042,2127.824837,2333.168460,2521.713058,
2550.905194,2327.050529,2158.016591,2016.578764,1832.822108,1682.862594,1568.920683,1422.832208,1336.064653,1256.240113,1172.782536,1076.766470,1027.460997,985.086951,930.407237,914.677307,904.788288,-1.000000,903.308364,956.937008,988.233477,1022.433489,1096.787489,1153.856971,1237.152715,1306.669322,1382.264251,1502.794579,1610.481271,1739.409010,1865.673508,2021.623267,2183.552791,2367.193056,
2423.940850,2237.808732,2061.388270,1879.701637,1530.360046,1536.153272,1455.935121,1332.176373,1218.834488,1127.543080,1053.782477,962.220773,913.318953,850.669270,815.087834,773.704996,795.408744,-1.000000,802.385312,792.688037,857.751361,905.054250,918.112575,1023.886519,1077.947898,1136.952502,1258.580564,1341.766420,1454.680887,1583.784123,1735.940076,1873.091801,2029.997029,2222.750304,
2279.338165,2123.480876,1937.940539,1769.932449,1576.401065,1429.541372,1314.916062,1215.653781,1113.533509,1023.482175,943.252606,850.856089,811.103645,748.124331,728.040362,703.030741,658.085216,-1.000000,697.338897,716.203406,736.723266,789.001314,822.558936,898.356727,967.897331,1050.939194,1143.998413,1239.501271,1333.980852,1469.780234,1603.214088,1725.298238,1891.747517,2082.336729,
2224.884303,2021.586338,1813.557748,1655.956788,1496.632365,1356.746445,1198.945417,1112.609292,1008.893725,914.187545,837.821655,762.857142,702.502360,633.110773,628.898885,595.265962,585.826667,-1.000000,569.599604,582.280142,638.672037,680.633633,728.997779,767.990334,859.804221,932.606629,1028.107316,1089.000972,1228.711054,1351.652032,1478.456375,1621.256340,1776.009428,1937.855414,
2121.363327,1921.282714,1716.955564,1529.042218,1397.831137,1253.115181,1124.027123,1007.845883,913.618418,811.347822,731.598347,663.852118,617.505712,568.225121,525.697068,510.617528,492.312761,-1.000000,499.200256,515.187434,533.661288,558.410430,623.904374,689.628867,734.725391,836.032067,901.701137,1017.640391,1085.308725,1242.092117,1359.266720,1505.089722,1648.401247,1803.556183,
