initx_p,inity_p,initz_p,actx_ent,acty_ent,actz_ent,actx_exit,acty_exit,actz_exit,predx_ent,predy_ent,predz_ent,predx_exit,predy_exit,predz_exit
0.482162,-0.876063,0.00580566,105.651,-120.157,-12.3816,105.651,-120.157,-12.3816,77.1392,-140.177,0.928921,528.083,-960.387,6.36311
-0.063709,0.395092,-0.91643,-100.36,373.144,-886.595,-131.443,449.219,-1074.88,-25.4486,157.963,-366.393,-173.421,1082.19,-2509.79
-0.867625,-0.451421,0.208437,-140.625,-76.3186,34.0999,-904.385,-619.054,234.28,-141.942,-73.8411,34.0989,-972.474,-505.48,233.577
0.176307,0.63635,-0.750982,42.3195,171.726,-201.177,104.672,1042.74,-1198.2,42.7335,154.188,-181.967,293.258,1056.04,-1246.48
-0.112229,-0.876231,0.468641,-17.2458,-159.068,84.8822,6.99687,-1095.89,578.929,-20.3373,-158.702,84.8806,-139.721,-1087.06,581.432
-0.261273,0.577176,0.773695,-81.0979,165.264,224.815,-533.941,800.66,1180.01,-65.9693,145.767,195.39,-451.364,998.743,1338.42
-0.743405,0.667154,-0.0474759,-120.892,104.811,-7.60482,-896.742,630.125,-52.0315,-119.073,106.872,-7.60471,-815.405,732.346,-52.0923
0.309756,-0.398039,-0.863491,158.356,-183.3,-414.994,464.168,-451.798,-1113.12,98.2498,-126.281,-273.926,672.438,-865.473,-1876.39
-0.435724,-0.700065,0.565733,-81.7289,-137.551,109.797,-442.567,-1002.67,758.503,-84.5555,-135.832,109.773,-579.582,-930.215,751.943
0.160811,0.789163,0.592758,28.6178,157.42,117.769,62.8261,1094.18,808.059,31.9583,156.776,117.759,219.36,1073.82,806.652
0.743416,-0.645076,-0.17666,122.649,-102.748,-28.7296,905.907,-616.858,-198.868,120.841,-104.868,-28.7173,827.519,-718.63,-196.714
-0.685424,-0.712385,-0.15067,-108.923,-117.2,-24.3945,-660.085,-874.895,-166.696,-110.941,-115.291,-24.3856,-760.212,-789.489,-167.042
-0.524934,0.821428,0.222937,-88.5147,133.286,36.598,-697.611,845.279,247.337,-86.1499,134.827,36.5908,-589.81,923.764,250.647
0.402496,-0.13317,-0.905684,323.949,-77.6666,-712.33,496.446,-96.2605,-1082.9,151.895,-50.2786,-341.805,1040.21,-345.227,-2341.36
0.974091,0.00253548,-0.226143,159.965,3.34617,-37.1424,1087.91,132.682,-255.127,159.999,0.407094,-37.1451,1096,2.41301,-254.444
0.641005,0.010013,0.767471,181.769,8.35286,217.85,969.641,177.35,1184.96,159.981,2.48478,191.544,1095.88,16.4501,1312.07
0.430711,0.826665,-0.362095,71.3121,143.229,-62.1559,381.114,1027.55,-426.582,73.9393,141.891,-62.1529,506.832,971.77,-425.747
0.557388,-0.0709551,0.827214,209.099,-18.1813,309.202,770.229,15.8778,1139.21,158.717,-20.2209,235.553,1087.13,-139.159,1613.54
-0.409783,0.255574,0.875648,-227.215,124.201,469.67,-554.001,249.455,1104.6,-135.75,84.6871,290.1,-929.487,580.749,1987.18
0.443847,-0.430774,0.78577,139.598,-126.884,239.717,751.491,-526.101,1170.43,114.805,-111.444,203.265,786.002,-763.817,1392.36
