============= Kalman Filter Processing ===========
Initializing GenFit field
>>> Track = 73, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04785
>>> Track = 75, hits = 55, fitted = 1, converged = 1, chi2 = 110.028, ndf = 105, X2v = 1.04789
>>> Track = 76, hits = 55, fitted = 1, converged = 1, chi2 = 110.018, ndf = 105, X2v = 1.04779
>>> Track = 77, hits = 55, fitted = 1, converged = 1, chi2 = 110.015, ndf = 105, X2v = 1.04776
>>> Track = 78, hits = 55, fitted = 1, converged = 1, chi2 = 110.023, ndf = 105, X2v = 1.04784
>>> Track = 79, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04784
>>> Track = 80, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04786
>>> Track = 81, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04785
>>> Track = 82, hits = 48, fitted = 1, converged = 1, chi2 = 96.0131, ndf = 91, X2v = 1.05509
>>> Track = 84, hits = 55, fitted = 1, converged = 1, chi2 = 110.014, ndf = 105, X2v = 1.04776
>>> Track = 85, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04785
>>> Track = 86, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04785
>>> Track = 88, hits = 55, fitted = 1, converged = 1, chi2 = 110.019, ndf = 105, X2v = 1.0478
>>> Track = 89, hits = 55, fitted = 1, converged = 1, chi2 = 110.027, ndf = 105, X2v = 1.04788
>>> Track = 90, hits = 55, fitted = 1, converged = 1, chi2 = 110.023, ndf = 105, X2v = 1.04784
>>> Track = 91, hits = 55, fitted = 1, converged = 1, chi2 = 110.018, ndf = 105, X2v = 1.04779
Skipping track 92 too many or too few hits 1
>>> Track = 93, hits = 55, fitted = 1, converged = 1, chi2 = 110.026, ndf = 105, X2v = 1.04787
>>> Track = 95, hits = 55, fitted = 1, converged = 1, chi2 = 110.016, ndf = 105, X2v = 1.04777
>>> Track = 97, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04785
>>> Track = 98, hits = 55, fitted = 1, converged = 1, chi2 = 110.029, ndf = 105, X2v = 1.04789
>>> Track = 99, hits = 55, fitted = 1, converged = 1, chi2 = 110.016, ndf = 105, X2v = 1.04777
>>> Track = 100, hits = 48, fitted = 1, converged = 1, chi2 = 96.0141, ndf = 91, X2v = 1.0551
>>> Track = 101, hits = 55, fitted = 1, converged = 1, chi2 = 110.019, ndf = 105, X2v = 1.0478
>>> Track = 103, hits = 17, fitted = 1, converged = 1, chi2 = 34.0027, ndf = 29, X2v = 1.17251
>>> Track = 104, hits = 55, fitted = 1, converged = 1, chi2 = 110.015, ndf = 105, X2v = 1.04777
